單字,字頻,拆字1,code1
貼,18826.0,月金卜口,bcyr
空,18767.0,十金一,jcm
針,18727.0,金十,cj
附,18626.0,弓中人木戈,nlodi
先,18555.0,竹土竹山,hghu
須,18496.0,竹竹一月金,hhmbc
景,18492.0,日卜口火,ayrf
錄,18451.0,金女弓水,cvne
參,18419.0,戈戈戈竹,iiih
坪,18377.0,土一火十,gmfj
逾,18374.0,卜人一弓,yomn
模,18356.0,木廿日大,dtak
監,18307.0,尸戈月廿,sibt
付,18294.0,人木戈,odi
雄,18159.0,大戈人土,kiog
含,18136.0,人戈弓口,oinr
形,18135.0,一廿竹竹竹,mthhh
究,18078.0,十金大弓,jckn
容,18071.0,十金人口,jcor
健,18026.0,人弓大手,onkq
維,18000.0,女火人土,vfog
步,17947.0,卜中一竹,ylmh
半,17936.0,火手,fq
炒,17921.0,火火竹,ffh
局,17908.0,尸尸口,ssr
給,17903.0,女火人一口,vfomr
學,17849.0,竹月弓木,hbnd
縮,17807.0,女火十人日,vfjoa
照,17801.0,日口火,arf
素,17797.0,手一女戈火,qmvif
陸,17795.0,弓中土金土,nlgcg
擇,17769.0,手田中十,qwlj
老,17748.0,十大心,jkp
頁,17745.0,一月山金,mbuc
子,17695.0,弓木,nd
委,17693.0,竹木女,hdv
檢,17670.0,木人一人,domo
桃,17657.0,木中一人,dlmo
首,17633.0,廿竹月山,thbu
論,17576.0,卜口人一月,yromb
兩,17565.0,一中月人,mlbo
組,17538.0,女火月一,vfbm
級,17501.0,女火弓竹水,vfnhe
服,17480.0,月尸中水,bsle
短,17479.0,人大一口廿,okmrt
促,17421.0,人口卜人,oryo
看,17322.0,竹手月山,hqbu
段,17318.0,竹十竹弓水,hjhne
列,17269.0,一弓中弓,mnln
院,17264.0,弓中十一山,nljmu
華,17197.0,廿一廿十,tmtj
筆,17152.0,竹中手,hlq
慎,17064.0,心十月金,pjbc
訊,17059.0,卜口弓十,yrnj
善,17000.0,廿土廿口,tgtr
執,16981.0,土十大弓戈,gjkni
否,16973.0,一火口,mfr
另,16937.0,口大尸,rks
們,16910.0,人日弓,oan
直,16883.0,十月一一,jbmm
創,16878.0,人口中弓,orln
系,16867.0,竹女戈火,hvif
接,16827.0,手卜廿女,qytv
庭,16825.0,戈弓大土,inkg
衝,16777.0,竹人竹土弓,hohgn
網,16614.0,女火月廿女,vfbtv
壓,16589.0,一大土,mkg
些,16508.0,卜心一一,ypmm
按,16457.0,手十女,qjv
契,16449.0,手竹大,qhk
引,16422.0,弓中,nl
門,16408.0,日弓,an
託,16392.0,卜口竹心,yrhp
波,16313.0,水木竹水,edhe
環,16281.0,一土田中女,mgwlv
客,16279.0,十竹水口,jher
做,16206.0,人十口大,ojrk
畫,16160.0,中土田一,lgwm
避,16116.0,卜尸口十,ysrj
足,16109.0,口卜人,ryo
蘭,16054.0,廿日弓田,tanw
惠,15963.0,十戈心,jip
路,15961.0,口一竹水口,rmher
速,15931.0,卜木中,ydl
倍,15910.0,人卜廿口,oytr
失,15874.0,竹手人,hqo
水,15858.0,水,e
排,15771.0,手中一卜,qlmy
延,15715.0,弓大竹卜一,nkhym
七,15688.0,十山,ju
歐,15664.0,尸口弓人,srno
根,15610.0,木日女,dav
落,15575.0,廿水竹口,tehr
漁,15550.0,水弓田火,enwf
彰,15521.0,卜十竹竹竹,yjhhh
納,15519.0,女火人月,vfob
只,15513.0,口金,rc
常,15494.0,火月口中月,fbrlb
違,15438.0,卜木一手,ydmq
帶,15423.0,大心月中月,kpblb
極,15400.0,木一水一,dmem
嚴,15316.0,口口一一大,rrmmk
討,15249.0,卜口木戈,yrdi
棟,15241.0,木木田,ddw
香,15199.0,竹木日,hda
被,15034.0,中木竹水,ldhe
張,14998.0,弓尸一女,nsmv
儲,14986.0,人卜口日,oyra
繳,14966.0,,
擊,14927.0,十水手,jeq
象,14880.0,弓日心人,napo
嘉,14865.0,土口廿口,grtr
符,14844.0,竹人木戈,hodi
何,14775.0,人一弓口,omnr
撥,14757.0,手弓人水,qnoe
責,14751.0,手一月山金,qmbuc
抑,14715.0,手竹女中,qhvl
革,14706.0,廿中十,tlj
略,14699.0,田竹水口,wher
樣,14680.0,木廿土水,dtge
必,14679.0,心竹,ph
壽,14679.0,土弓一戈,gnmi
庫,14676.0,戈十田十,ijwj
城,14659.0,土戈竹尸,gihs
稱,14617.0,竹木月土月,hdbgb
圍,14523.0,田木一手,wdmq
難,14418.0,廿人人土,toog
退,14417.0,卜日女,yav
鬆,14416.0,尸竹木金戈,shdci
止,14410.0,卜中一,ylm
韓,14410.0,十十木一手,jjdmq
膨,14323.0,月土廿竹,bgth
任,14315.0,人竹土,ohg
述,14305.0,卜戈木,yid
勵,14293.0,一月大尸,mbks
鎮,14274.0,金十月金,cjbc
測,14245.0,水月金弓,ebcn
